date,entry_time,direction,model,grade,score,entry,sl,tp,current_sl,risk_pts,breakeven_moved,bars_held,qty,exit_price,reason,pts,pnl,exit_time
2026-04-16,14:05,BUY,Turtle Soup Model (PDL),A+,87,24155.95,24128.47,24210.91,24155.95,27.479999999999563,True,5,50,24210.91,TP,54.95999999999913,2748.0,14:30
2026-04-17,09:20,SELL,Judas Swing Model,A+,86,24196.9,24238.82,24113.06,24238.82,41.919999999998254,False,8,50,24238.82,SL,-41.919999999998254,-2096.0,10:00
2026-04-20,09:25,SELL,Turtle Soup Model (PWH),A+,87,24383.0,24421.84,24305.32,24383.0,38.840000000000146,True,3,50,24305.32,TP,77.68000000000029,3884.0,09:40
2026-04-20,09:45,BUY,Unicorn Model,A+,91,24296.55,24254.96,24379.73,24296.55,41.590000000000146,True,4,50,24379.73,TP,83.18000000000029,4159.0,10:05
2026-04-21,09:20,SELL,Judas Swing Model,A+,91,24465.05,24490.76,24413.63,24490.76,25.709999999999127,False,5,50,24490.76,SL,-25.709999999999127,-1285.5,09:45
2026-04-22,09:30,BUY,Judas Swing Model,A+,86,24452.15,24422.92,24510.61,24422.92,29.2300000000032,False,2,50,24422.92,SL,-29.2300000000032,-1461.5,09:40
2026-04-22,10:00,BUY,Turtle Soup Model (PDL),A+,87,24383.25,24348.35,24453.05,24383.25,34.900000000001455,True,11,50,24439.9,NEAR_TP,56.650000000001455,2832.5,10:55
2026-04-22,14:00,SELL,Unicorn Model,A+,88,24420.4,24440.66,24379.88,24420.4,20.2599999999984,True,7,50,24420.4,BREAKEVEN,0.0,0.0,14:35
2026-04-23,09:30,SELL,Judas Swing Model,A+,91,24213.15,24262.14,24115.17,24262.14,48.98999999999796,False,3,50,24262.14,SL,-48.98999999999796,-2449.5,09:45
2026-04-27,09:20,SELL,Judas Swing Model,A+,86,24046.6,24072.34,23995.12,24046.6,25.7400000000016,True,3,50,24007.2,NEAR_TP,39.39999999999782,1970.0,09:35
2026-04-28,09:20,SELL,Judas Swing Model,A+,91,24086.7,24113.9,24032.3,24113.9,27.200000000000728,False,1,50,24113.9,SL,-27.200000000000728,-1360.0,09:25
2026-04-28,09:25,SELL,Turtle Soup Model (PDH),A+,87,24115.35,24137.82,24070.41,24115.35,22.470000000001164,True,3,50,24115.35,BREAKEVEN,0.0,0.0,09:40
2026-04-29,09:20,BUY,Judas Swing Model,A+,88,24077.9,24055.05,24123.6,24077.9,22.850000000002183,True,2,50,24123.6,TP,45.69999999999709,2285.0,09:30
2026-04-30,10:15,BUY,Turtle Soup Model (PWL),A+,92,23838.45,23795.25,23924.85,23838.45,43.20000000000073,True,26,50,23911.45,NEAR_TP,73.0,3650.0,12:25
2026-04-30,14:40,BUY,Turtle Soup Model (PDL),A+,89,24075.1,24050.07,24125.16,24050.07,25.029999999998836,False,1,50,24050.07,SL,-25.029999999998836,-1251.5,14:45
2026-05-04,09:50,SELL,Judas Swing Model,A,81,24232.15,24296.51,24103.43,24232.15,64.35999999999694,True,11,50,24232.15,BREAKEVEN,0.0,0.0,10:45
2026-05-04,13:50,SELL,Turtle Soup Model (PDH),A+,87,24086.0,24113.55,24030.9,24086.0,27.549999999999272,True,4,50,24086.0,BREAKEVEN,0.0,0.0,14:10
2026-05-05,09:40,BUY,Turtle Soup Model (PDL),A+,87,24013.75,23994.89,24051.47,24013.75,18.860000000000582,True,2,50,24051.47,TP,37.720000000001164,1886.0,09:50
2026-05-06,09:20,BUY,Judas Swing Model,A+,91,24185.2,24151.19,24253.22,24151.19,34.01000000000204,False,3,50,24151.19,SL,-34.01000000000204,-1700.5,09:35
2026-05-06,14:50,SELL,Turtle Soup Model (PWH),A,84,24332.1,24361.39,24273.52,24361.39,29.290000000000873,False,5,50,24330.65,SQUAREOFF,1.4499999999970896,72.5,15:15
